Obesity Prevalence,,,Year 2013,Year 2013,Year 2012,Year 2012,Year 2004,Year 2004
State,FIPS Codes,County,number,percent,number,percent,number,percent
Nebraska,31001,Adams County,7610,33,6766,29.7,6190,25.8
Nebraska,31003,Antelope County,1323,27.6,1315,27.1,1291,24.8
Nebraska,31005,Arthur County,94,29.7,98,29.8,71.52,24
Nebraska,31007,Banner County,208,33.5,199,33.1,142.1,25.7
Nebraska,31009,Blaine County,107,29.1,105,27.6,95.44,24.2
Nebraska,31011,Boone County,1270,31.6,1125,27.9,1095,26.1
Nebraska,31013,Box Butte County,2787,33.9,2588,31.5,2097,25.6
Nebraska,31015,Boyd County,534,34.2,521,32.8,443,25.4
Nebraska,31017,Brown County,673,30.2,713,31,668,25.6
Nebraska,31019,Buffalo County,10418,30.1,10127,29.6,7843,25.2
Nebraska,31021,Burt County,1545,31,1647,32.7,1448,25.8
Nebraska,31023,Butler County,1965,32,1719,28.2,1651,25.9
Nebraska,31025,Cass County,6549,35.4,6184,33.8,4839,26.3
Nebraska,31027,Cedar County,1788,28.3,1786,28,1630,25.3
Nebraska,31029,Chase County,902,30.6,810,27.2,755.9,25.4
Nebraska,31031,Cherry County,1148,26.2,1132,26,1157,25.9
Nebraska,31033,Cheyenne County,2343,31.5,2104,28.3,1725,23.6
Nebraska,31035,Clay County,1539,32.9,1518,32.4,1270,25.4
Nebraska,31037,Colfax County,2240,31.5,2236,31.1,1846,25
Nebraska,31039,Cuming County,1954,29.7,1917,28.9,1855,26.1
Nebraska,31041,Custer County,2589,32,2741,34.1,2046,24.3
Nebraska,31043,Dakota County,5118,35.8,4874,34.4,3585,26
Nebraska,31045,Dawes County,1837,27.3,1883,28,1577,24.6
Nebraska,31047,Dawson County,5673,33.8,5508,32.9,4476,26.5
Nebraska,31049,Deuel County,447,30.1,411,27.1,404.3,25.9
Nebraska,31051,Dixon County,1336,31.5,1309,30.7,1115,25.3
Nebraska,31053,Dodge County,8849,32.7,8317,30.8,6580,24.7
Nebraska,31055,Douglas County,106997,27.8,106786,28.2,82610,24.1
Nebraska,31057,Dundy County,518,35.3,509,34.1,443.9,26.3
Nebraska,31059,Fillmore County,1459,33.4,1327,30.5,1200,25.3
Nebraska,31061,Franklin County,887,36.7,895,36.4,655.8,25.4
Nebraska,31063,Frontier County,716,35.5,710,35,524.5,25.2
Nebraska,31065,Furnas County,1243,33.9,1202,32.6,974.6,25.1
Nebraska,31067,Gage County,5608,34.1,5816,35.4,4238,24.1
Nebraska,31069,Garden County,503,32.6,494,31.3,423.8,24.8
Nebraska,31071,Garfield County,451,28.4,428,27.6,341.6,24.5
Nebraska,31073,Gosper County,501,34.4,504,33.6,405.8,26.1
Nebraska,31075,Grant County,136,28.3,142,28.9,134.1,26.2
Nebraska,31077,Greeley County,597,32.4,614,33.4,483.6,26.4
Nebraska,31079,Hall County,14562,33.9,14037,33,10490,26.9
Nebraska,31081,Hamilton County,2160,32.5,1980,30.2,1771,26.1
Nebraska,31083,Harlan County,858,32.1,825,31.4,752.1,27.3
Nebraska,31085,Hayes County,246,33.2,222,30.3,211.4,26.5
Nebraska,31087,Hitchcock County,794,35.9,757,34.2,582.7,25
Nebraska,31089,Holt County,2334,30.2,2457,31.9,1877,23.7
Nebraska,31091,Hooker County,152,26.6,151,27.1,144.2,25.1
Nebraska,31093,Howard County,1376,29.4,1444,30.9,1299,26.6
Nebraska,31095,Jefferson County,2065,36.2,2016,35.2,1554,25.2
Nebraska,31097,Johnson County,1219,30.3,1203,29.7,949.4,25.5
Nebraska,31099,Kearney County,1501,31.1,1547,32.3,1276,25.3
Nebraska,31101,Keith County,1726,27.5,1769,28,1562,24.9
Nebraska,31103,Keya Paha County,183,29.6,172,27.8,182.3,26.2
Nebraska,31105,Kimball County,880,31.4,896,31.6,748.5,26.3
Nebraska,31107,Knox County,1994,31.6,1895,30,1772,26.4
Nebraska,31109,Lancaster County,56452,26,55833,26.1,43180,22.5
Nebraska,31111,Lincoln County,8364,31.7,8722,33.2,6865,26.9
Nebraska,31113,Logan County,175,31.1,161,28.6,145.5,26.7
Nebraska,31115,Loup County,139,30.7,137,30.1,129.5,25.5
Nebraska,31117,McPherson County,113,30.5,110,31,103.7,26.4
Nebraska,31119,Madison County,8308,32.6,8216,32.3,5920,23.5
Nebraska,31121,Merrick County,1881,32.6,1965,34.4,1553,26.2
Nebraska,31123,Morrill County,1074,30.2,1095,30.6,1066,27.9
Nebraska,31125,Nance County,811,29.8,847,30.5,668.5,24.9
Nebraska,31127,Nemaha County,1879,35.5,1840,34.6,1389,26.3
Nebraska,31129,Nuckolls County,1138,33.5,1061,30.9,1054,28.7
Nebraska,31131,Otoe County,3968,33.9,3934,33.7,2832,24.9
Nebraska,31133,Pawnee County,615,29.8,674,31.7,555.8,25.1
Nebraska,31135,Perkins County,530,24.5,576,26.4,577.7,25.4
Nebraska,31137,Phelps County,2248,33.4,2361,35,1817,25.8
Nebraska,31139,Pierce County,1772,34.1,1834,35.3,1369,25.1
Nebraska,31141,Platte County,6806,29.3,6950,30,5285,24.2
Nebraska,31143,Polk County,1152,29.5,1179,30,1037,25.7
Nebraska,31145,Red Willow County,2605,31.9,2435,29.9,2076,25.4
Nebraska,31147,Richardson County,2310,36.7,2273,35.7,1701,25.5
Nebraska,31149,Rock County,331,30.3,340,31.5,325.5,25.9
Nebraska,31151,Saline County,3346,33,3413,33.1,2511,24.6
Nebraska,31153,Sarpy County,36010,30.6,33183,28.9,22790,24.5
Nebraska,31155,Saunders County,4345,28.6,4112,27.3,3935,26.9
Nebraska,31157,Scotts Bluff County,9130,33.9,9209,34.2,7010,26.3
Nebraska,31159,Seward County,3594,29.4,3539,29.1,2986,24.8
Nebraska,31161,Sheridan County,1197,30.2,1213,30.1,1119,26
Nebraska,31163,Sherman County,787,33.1,819,34.4,652.4,27.2
Nebraska,31165,Sioux County,320,32.3,307,30.8,279.4,25
Nebraska,31167,Stanton County,1489,34.3,1447,33.2,1171,25.6
Nebraska,31169,Thayer County,1206,30.2,1191,30.1,1043,25
Nebraska,31171,Thomas County,171,32.8,156,30.8,131,25.8
Nebraska,31173,Thurston County,1781,41.8,1731,40.8,1267,28.9
Nebraska,31175,Valley County,1018,32.3,1001,31.4,819,24.1
Nebraska,31177,Washington County,4637,31.5,4556,31,3838,26.9
Nebraska,31179,Wayne County,2011,29.6,2021,29.6,1707,25.1
Nebraska,31181,Webster County,919,32.9,897,31.8,750.6,25.6
Nebraska,31183,Wheeler County,164,28.1,167,27.8,149.2,25.4
Nebraska,31185,York County,3469,33.6,3323,32.1,2712,26.1
Nevada,32001,Churchill County,4519,25.5,5144,28.8,3449,20.9
Nevada,32003,Clark County,415234,27.8,377505,25.8,243200,20.7
Nevada,32005,Douglas County,8035,21.4,8326,22.4,5958,17
Nevada,32007,Elko County,11022,30.3,11183,31.9,6312,21.4
Nevada,32009,Esmeralda County,174,25.5,168,26.6,133.2,19.9
Nevada,32011,Eureka County,422,27.2,392,26.3,208.5,20.6
Nevada,32013,Humboldt County,3139,25.7,2955,24.7,2452,21.6
Nevada,32015,Lander County,1301,30.4,1191,28.5,753.8,22.3
Nevada,32017,Lincoln County,1004,25.9,980,25.2,652.8,21.4
Nevada,32019,Lyon County,11486,29.8,11392,29.9,7144,22.7
Nevada,32021,Mineral County,1011,28,983,26.4,893,24.3
Nevada,32023,Nye County,10605,31.5,9854,29.1,7546,26.3
Nevada,32027,Pershing County,1684,31.1,1734,32.4,1150,24.4
Nevada,32029,Storey County,883,26.9,854,25.9,675.6,22.4
Nevada,32031,Washoe County,70637,21.8,71053,22.2,48630,17.7
Nevada,32033,White Pine County,2199,28.7,1920,25.1,1423,21.9
Nevada,32510,Carson City,10246,24.6,10120,24.1,8026,19.3
New Hampshire,33001,Belknap County,14754,31.3,14435,30.7,9777,21
New Hampshire,33003,Carroll County,9689,25.2,8859,23.1,6662,18.3
New Hampshire,33005,Cheshire County,16096,27.4,14655,25,12790,22.4
New Hampshire,33007,Coos County,7844,30.5,7705,30.1,6534,25.3
New Hampshire,33009,Grafton County,17634,25.3,18447,26.7,13190,20.8
New Hampshire,33011,Hillsborough County,86571,28.5,82429,27.3,61100,21.2
New Hampshire,33013,Merrimack County,33252,29.5,32428,29,23740,22
New Hampshire,33015,Rockingham County,59652,26.1,58152,25.7,45870,21.5
New Hampshire,33017,Strafford County,27339,29.1,27812,29.8,19470,22.4
New Hampshire,33019,Sullivan County,9665,28.8,9442,28.2,7035,21.9
New Jersey,34001,Atlantic County,57175,27.6,55013,26.8,48900,25.2
New Jersey,34003,Bergen County,150923,21.5,141674,20.4,120300,17.9
New Jersey,34005,Burlington County,95494,28,91675,27,73730,22.4
New Jersey,34007,Camden County,114525,30.2,110030,29,86890,23.7
New Jersey,34009,Cape May County,21331,27.9,20774,27.1,17470,22.9
New Jersey,34011,Cumberland County,40145,34.5,39129,33.6,29050,26.6
New Jersey,34013,Essex County,166103,28.7,156487,27.3,131500,23.4
New Jersey,34015,Gloucester County,65336,30.3,62448,29.2,47180,24
New Jersey,34017,Hudson County,123096,23.9,121083,23.9,94830,21
New Jersey,34019,Hunterdon County,21434,22.3,20235,21.3,16860,17.8
New Jersey,34021,Mercer County,68091,24.6,66624,24.3,59110,22.4
New Jersey,34023,Middlesex County,155517,25,147379,24,115700,20.2
New Jersey,34025,Monmouth County,109120,23.2,106387,22.7,85610,18.7
New Jersey,34027,Morris County,78435,21,75370,20.4,62370,17.6
New Jersey,34029,Ocean County,121899,28.1,115824,26.8,94180,22.8
New Jersey,34031,Passaic County,94602,25.7,88025,24.1,74800,21.3
New Jersey,34033,Salem County,16618,33.9,15749,32,12400,26
New Jersey,34035,Somerset County,55450,22.6,51514,21.3,43030,18.9
New Jersey,34037,Sussex County,28802,26.2,28167,25.5,24060,22.2
New Jersey,34039,Union County,99671,24.7,97820,24.5,76020,19.9
New Jersey,34041,Warren County,23308,28.8,21869,27.1,19270,24.2
New Mexico,35001,Bernalillo County,107723,21.5,101625,20.4,69660,16.2
New Mexico,35003,Catron County,605,20.3,673,21.9,464.1,16.8
New Mexico,35005,Chaves County,13371,29.2,13596,29.9,9795,22.9
New Mexico,35006,Cibola County,6262,31.2,6520,32.9,4025,21
New Mexico,35007,Colfax County,2256,22,2472,24,1905,18.5
New Mexico,35009,Curry County,10782,30.5,10571,30,7151,23.1
New Mexico,35011,De Baca County,329,22.9,350,23.8,297.5,18.9
New Mexico,35013,Doña Ana County,35526,23.6,34562,23.2,24150,19.1
New Mexico,35015,Eddy County,12355,31.2,11720,30.1,8939,24.5
New Mexico,35017,Grant County,4882,21.8,4689,21,3954,18.3
New Mexico,35019,Guadalupe County,965,27.3,954,27,659.2,19.5
New Mexico,35021,Harding County,132,22.9,131,22.7,116.6,18.3
New Mexico,35023,Hidalgo County,776,22.9,888,25.6,817.1,22.7
New Mexico,35025,Lea County,15492,33.8,15490,34.7,9526,24.8
New Mexico,35027,Lincoln County,3161,19.9,3450,21.5,2525,15.9
New Mexico,35028,Los Alamos County,2628,19.9,2717,20.3,2153,15.4
New Mexico,35029,Luna County,4291,24.3,4105,23.1,3795,21.1
New Mexico,35031,McKinley County,17100,35.1,15972,33.3,11760,26.7
New Mexico,35033,Mora County,822,22.6,865,23.8,718.9,18.6
New Mexico,35035,Otero County,12055,25.1,12292,25.7,9354,21
New Mexico,35037,Quay County,2132,32,2185,32.4,1631,22.9
New Mexico,35039,Rio Arriba County,7187,24.5,7101,24.1,5354,18.8
New Mexico,35041,Roosevelt County,3735,26.9,3933,28.1,2483,19.9
New Mexico,35043,Sandoval County,23532,23.8,23490,24.1,15600,21.5
New Mexico,35045,San Juan County,28023,31.7,26873,30.3,18930,22.9
New Mexico,35047,San Miguel County,4933,22.6,4861,22.2,3825,18.2
New Mexico,35049,Santa Fe County,15695,13.7,15657,13.8,13250,12.6
New Mexico,35051,Sierra County,2008,21,2053,21,2275,22.1
New Mexico,35053,Socorro County,3352,26.3,3257,25.6,2614,20.6
New Mexico,35055,Taos County,4509,17.4,4342,16.9,3376,14.2
New Mexico,35057,Torrance County,3059,26.1,3037,25.5,2750,21.9
New Mexico,35059,Union County,938,27,989,28.4,531.8,18.8
New Mexico,35061,Valencia County,14684,26.6,14925,27.1,9761,20.4
New York,36001,Albany County,59820,25.4,63502,27.2,46130,20.7
New York,36003,Allegany County,10414,29.6,10468,29.8,8353,22.9
New York,36005,Bronx County,309585,30.4,288334,28.9,202200,21.9
New York,36007,Broome County,41216,27.3,37245,24.7,38250,25.9
New York,36009,Cattaraugus County,16502,28.1,16638,28.4,13880,22.9
New York,36011,Cayuga County,18676,30.6,18451,30.3,14070,23.1
New York,36013,Chautauqua County,29716,29.6,29937,29.8,27190,26.8
New York,36015,Chemung County,19471,29.1,21402,31.9,17650,26.4
New York,36017,Chenango County,11450,30.3,12405,32.8,9331,24.2
New York,36019,Clinton County,19243,30.3,18692,29.6,15200,24.5
New York,36021,Columbia County,12307,25,12401,25.3,9863,20.5
New York,36023,Cortland County,9736,26.8,10082,27.7,7595,21.2
New York,36025,Delaware County,10167,27.9,9402,25.8,8796,24.4
New York,36027,Dutchess County,58342,25.9,55728,24.9,44740,20.8
New York,36029,Erie County,187774,26.7,185626,26.5,173300,24.9
New York,36031,Essex County,8492,27.3,8863,28.5,6029,20
New York,36033,Franklin County,11985,30.3,11861,29.8,9991,25.4
New York,36035,Fulton County,12612,30.1,12040,28.7,8716,21
New York,36037,Genesee County,12142,26.8,13438,29.5,9363,21.3
New York,36039,Greene County,10713,27.9,11383,29.6,7977,21.5
New York,36041,Hamilton County,1032,26.1,1106,28,899.4,21.2
New York,36043,Herkimer County,14470,29.6,14552,29.8,11560,24.1
New York,36045,Jefferson County,24680,28.4,23956,27.4,21240,25.8
New York,36047,Kings County,439411,22.7,425275,22.3,385100,21.6
New York,36049,Lewis County,6769,33.7,5432,27.2,4588,23.7
New York,36051,Livingston County,15285,31.2,14666,29.9,10440,21.8
New York,36053,Madison County,14088,26.1,15772,29.4,12400,24.3
New York,36055,Monroe County,155669,27.7,151869,27.2,123500,23.1
New York,36057,Montgomery County,9694,26,9362,25.1,8318,22.6
New York,36059,Nassau County,238945,23.5,228981,22.7,182300,18.5
New York,36061,New York County,198580,14.7,198345,14.7,177200,13.8
New York,36063,Niagara County,50055,30.4,49613,30.2,36760,22.7
New York,36065,Oneida County,55469,31.4,53783,30.4,41240,23.5
New York,36067,Onondaga County,97423,27.9,96288,27.8,74360,22.3
New York,36069,Ontario County,24400,29.4,24130,29.5,16020,20.9
New York,36071,Orange County,76235,28.8,68680,26.1,55850,21.6
New York,36073,Orleans County,9265,28.5,9915,30.6,7759,24.2
New York,36075,Oswego County,26323,29.2,26336,29.3,18610,20.7
New York,36077,Otsego County,12339,26,12086,25.5,10110,21.5
New York,36079,Putnam County,18115,24.1,20369,27.2,16370,22.3
New York,36081,Queens County,424895,23.8,418663,23.8,310400,18.2
New York,36083,Rensselaer County,33332,27.4,28609,23.6,26910,23.5
New York,36085,Richmond County,99997,28.2,92510,26.3,74810,22.1
New York,36087,Rockland County,50041,22.4,46157,20.9,40260,19.6
New York,36089,St. Lawrence County,23423,28.2,23782,28.6,20650,25.1
New York,36091,Saratoga County,45503,26.7,43103,25.6,34470,21.7
New York,36093,Schenectady County,30385,26.1,30227,26,25430,23.2
New York,36095,Schoharie County,6396,26.2,6620,26.9,4585,19.5
New York,36097,Schuyler County,4433,30.8,4302,30,3201,22.1
New York,36099,Seneca County,7864,28.9,8361,30.7,5849,22
New York,36101,Steuben County,22916,30.8,21927,29.5,16570,22.7
New York,36103,Suffolk County,259722,23.1,253808,22.8,233200,21.8
New York,36105,Sullivan County,17083,29.3,17817,30.7,12350,21.9
New York,36107,Tioga County,11076,29.3,11938,31.5,8063,21.4
New York,36109,Tompkins County,19925,25.3,18322,23.7,14080,18.8
New York,36111,Ulster County,38484,27.2,39689,28.1,29010,21.1
New York,36113,Warren County,14061,27.4,13302,26,11650,23.6
New York,36115,Washington County,15530,31.9,14589,29.8,11140,23.6
New York,36117,Wayne County,21009,30.2,20440,29.4,16000,23.5
New York,36119,Westchester County,145743,20.3,139049,19.6,115900,16.9
New York,36121,Wyoming County,8333,25.6,8596,26.3,7061,21.6
New York,36123,Yates County,4902,26.6,4644,25.3,4230,23.8
North Carolina,37001,Alamance County,40072,35.1,38112,33.7,26510,26.3
North Carolina,37003,Alexander County,9607,34,9253,33,6527,24.9
North Carolina,37005,Alleghany County,2355,27.1,2213,25.7,2085,24.3
North Carolina,37007,Anson County,6912,34.6,6945,34.5,5693,30.1
North Carolina,37009,Ashe County,6268,29.1,5690,26.4,4704,23.7
North Carolina,37011,Avery County,3734,26,3693,25.9,3100,22.4
North Carolina,37013,Beaufort County,12045,33,11912,32.9,10320,30.4
North Carolina,37015,Bertie County,5704,35.5,5709,35.5,4854,34.4
North Carolina,37017,Bladen County,10088,38.2,9157,34.8,7134,29.9
North Carolina,37019,Brunswick County,26084,28,25720,28.6,14770,22.7
North Carolina,37021,Buncombe County,45345,23.5,43212,22.8,36400,22.3
North Carolina,37023,Burke County,22277,32.4,21571,31.5,18340,27.9
North Carolina,37025,Cabarrus County,40064,30,36202,27.8,25760,24.7
North Carolina,37027,Caldwell County,20471,32.7,19317,31,14490,24.6
North Carolina,37029,Camden County,2324,31,2368,32.3,1707,27.2
North Carolina,37031,Carteret County,14045,25.8,14080,26.2,11880,24.7
North Carolina,37033,Caswell County,6596,36,6510,35.8,4935,27.9
North Carolina,37035,Catawba County,34003,29.5,35344,30.8,28710,26.2
North Carolina,37037,Chatham County,14014,27.1,13752,27,9957,23.2
North Carolina,37039,Cherokee County,6480,30,6131,28.5,4881,24.8
North Carolina,37041,Chowan County,3844,34.2,3632,32.4,3100,29.2
North Carolina,37043,Clay County,2439,28.7,2429,28.6,1755,23.1
North Carolina,37045,Cleveland County,22380,30.9,23270,32.1,17160,24.1
North Carolina,37047,Columbus County,13451,31.2,13411,31,11990,30.4
North Carolina,37049,Craven County,23556,30.1,23160,29.5,17960,27.7
North Carolina,37051,Cumberland County,75059,32.3,73207,32,57680,27.9
North Carolina,37053,Currituck County,5326,28.9,5116,28.3,3858,23.7
North Carolina,37055,Dare County,7508,27.4,7585,28.1,5833,22.7
North Carolina,37057,Davidson County,38547,31.4,36766,30.2,28350,25.1
North Carolina,37059,Davie County,9121,29.1,8715,28,6777,24.1
North Carolina,37061,Duplin County,13829,32,12694,29.2,10070,27.3
North Carolina,37063,Durham County,62676,29.2,59210,28.2,41950,24.1
North Carolina,37065,Edgecombe County,16760,40.8,16089,39.2,13570,35.3
North Carolina,37067,Forsyth County,82966,31.4,74934,28.7,54880,23.6
North Carolina,37069,Franklin County,14356,31.2,14404,31.8,11480,29.5
North Carolina,37071,Gaston County,51924,33.3,51721,33.6,37210,26.2
North Carolina,37073,Gates County,2990,33.9,3060,34.1,2431,30.9
North Carolina,37075,Graham County,1843,27.5,2030,30.5,1555,25.3
North Carolina,37077,Granville County,15793,35.8,16100,37,11760,30.1
North Carolina,37079,Greene County,5788,35.9,5534,34.2,4569,31
North Carolina,37081,Guilford County,114842,30.7,104807,28.4,75190,23.7
North Carolina,37083,Halifax County,15750,39,15997,39.4,13320,33
North Carolina,37085,Harnett County,28935,33.2,28023,33,19890,27.8
North Carolina,37087,Haywood County,14102,30,12282,26.4,9873,22.7
North Carolina,37089,Henderson County,23203,27.1,20514,24.3,17050,23.2
North Carolina,37091,Hertford County,6856,36.9,6520,35.2,5615,32.9
North Carolina,37093,Hoke County,12221,34.7,12021,34.8,7714,29.2
North Carolina,37095,Hyde County,1364,29.7,1370,29.9,1226,28.5
North Carolina,37097,Iredell County,35176,29.1,33531,28.2,23480,23.7
North Carolina,37099,Jackson County,9803,31.4,9989,32.4,7139,27
North Carolina,37101,Johnston County,44762,35.5,43460,35.2,27280,27
North Carolina,37103,Jones County,2716,33.9,2767,34.4,2214,29
North Carolina,37105,Lee County,12886,29.9,12465,29.3,9494,24.6
North Carolina,37107,Lenoir County,16295,37.2,15757,36,12920,30.7
North Carolina,37109,Lincoln County,16595,27.6,17149,28.8,11640,23.4
North Carolina,37111,McDowell County,10704,30.9,10451,30.3,8221,25.4
North Carolina,37113,Macon County,7328,27.4,6716,25.1,5151,20.9
North Carolina,37115,Madison County,4033,24.8,3988,24.8,3631,24
North Carolina,37117,Martin County,6939,38,6651,36.4,5694,31.5
North Carolina,37119,Mecklenburg County,172331,23.9,164870,23.5,123700,22.5
North Carolina,37121,Mitchell County,3566,29.2,3513,28.8,2993,24.4
North Carolina,37123,Montgomery County,6268,30.7,6512,31.9,5293,26.8
North Carolina,37125,Moore County,19243,27.4,19373,27.9,14850,24.5
North Carolina,37127,Nash County,22190,31.5,22076,31.2,18800,28.8
North Carolina,37129,New Hanover County,40995,24.9,41883,26,30120,22.9
North Carolina,37131,Northampton County,6277,38.5,6281,37.8,5359,33.6
North Carolina,37133,Onslow County,38992,29.7,33889,26.1,27490,26.6
North Carolina,37135,Orange County,23812,23.3,20200,19.9,16440,19
North Carolina,37137,Pamlico County,3317,31.5,3368,31.9,2567,25.7
North Carolina,37139,Pasquotank County,10509,35.4,10119,33.7,7955,30.1
North Carolina,37141,Pender County,12929,31.1,11787,28.8,8682,25.6
North Carolina,37143,Perquimans County,3447,32.6,3496,33.2,2440,27.4
North Carolina,37145,Person County,9698,32.7,9643,32.7,8048,29.7
North Carolina,37147,Pitt County,43742,34.3,43453,34.4,29350,29.3
North Carolina,37149,Polk County,4474,27.3,4373,27,3660,24.7
North Carolina,37151,Randolph County,33939,32.2,31254,29.8,24660,24.9
North Carolina,37153,Richmond County,12913,37.9,12629,37.1,9959,30.2
North Carolina,37155,Robeson County,37697,39.6,37158,39.1,28840,33.4
North Carolina,37157,Rockingham County,24932,35.4,24078,34,18840,27.4
North Carolina,37159,Rowan County,33724,32.7,35226,34.3,26430,27
North Carolina,37161,Rutherford County,14672,28.7,14400,28.1,11030,23.5
North Carolina,37163,Sampson County,17119,36.7,17900,38.6,13140,29.5
North Carolina,37165,Scotland County,9593,36.4,9681,36.6,8077,31.1
North Carolina,37167,Stanly County,13767,30,13599,29.8,11370,26.6
North Carolina,37169,Stokes County,12168,33.8,12095,33.7,8295,24.6
North Carolina,37171,Surry County,17019,30.9,15911,28.9,14750,27.6
North Carolina,37173,Swain County,3495,33.3,3712,35.3,2777,29
North Carolina,37175,Transylvania County,6449,24.3,6312,24,5071,22.2
North Carolina,37177,Tyrrell County,1012,30.8,1022,31,927.5,29
North Carolina,37179,Union County,38348,26.5,37485,26.6,26820,25
North Carolina,37181,Vance County,12513,38.2,12056,36.9,9801,32.3
North Carolina,37183,Wake County,173469,24.8,169737,24.9,107900,21
North Carolina,37185,Warren County,6280,39.2,6091,37.7,4489,30.1
North Carolina,37187,Washington County,3177,32.8,3167,32.8,2983,30.9
North Carolina,37189,Watauga County,10675,26.4,10618,26.4,6582,20.2
North Carolina,37191,Wayne County,31411,34.4,31419,34.7,23470,29
North Carolina,37193,Wilkes County,14097,26.7,13820,26.2,12570,25
North Carolina,37195,Wilson County,22115,36.8,22841,38.1,15900,29.2
North Carolina,37197,Yadkin County,8916,31,9244,32.3,6393,23.2
North Carolina,37199,Yancey County,3725,27,3729,27,3300,23.6
North Dakota,38001,Adams County,600,31.9,609,33.3,487.5,25
North Dakota,38003,Barnes County,2946,34.7,2751,32.8,2360,27.6
North Dakota,38005,Benson County,1346,31,1513,35.4,1328,29.7
North Dakota,38007,Billings County,203,28.3,216,29.7,165.4,25.4
North Dakota,38009,Bottineau County,1585,31,1522,30.2,1290,24.4
North Dakota,38011,Bowman County,718,30.3,717,29.7,603.6,25.1
North Dakota,38013,Burke County,496,28.9,488,29.6,436.4,26
North Dakota,38015,Burleigh County,19203,29.1,18814,29.4,12540,22.9
North Dakota,38017,Cass County,35353,29.1,31842,27.3,23620,24.2
North Dakota,38019,Cavalier County,970,32.1,960,31.2,862.2,25.5
North Dakota,38021,Dickey County,1289,33.4,1274,32.9,1056,25.4
North Dakota,38023,Divide County,490,27.1,511,28.6,454.7,25.5
North Dakota,38025,Dunn County,1050,33.5,912,30.3,668,25.8
North Dakota,38027,Eddy County,574,31.5,574,31.5,516.3,25.2
North Dakota,38029,Emmons County,827,30.9,837,31.3,839.9,27.8
North Dakota,38031,Foster County,784,30.5,761,29.4,671.4,25.3
North Dakota,38033,Golden Valley County,430,32.1,387,29.1,329.6,25.7
North Dakota,38035,Grand Forks County,15516,30.1,14610,29,11310,23.4
North Dakota,38037,Grant County,628,33.3,604,32.4,525,25.1
North Dakota,38039,Griggs County,494,26.9,560,29.7,513.8,25.5
North Dakota,38041,Hettinger County,587,29.1,612,31,530.1,26.3
North Dakota,38043,Kidder County,562,30.1,535,28.7,498.4,24.8
North Dakota,38045,LaMoure County,1057,33.4,1055,33.2,882.6,25.3
North Dakota,38047,Logan County,486,32.8,500,33.5,414.5,25.3
North Dakota,38049,McHenry County,1405,31.7,1258,28.8,1133,26.1
North Dakota,38051,McIntosh County,714,32.8,703,32.1,662.6,26.4
North Dakota,38053,McKenzie County,2125,32.8,1873,33.5,1095,27.8
North Dakota,38055,McLean County,2426,33.4,2376,32.9,1877,27.2
North Dakota,38057,Mercer County,2079,31.8,1990,30.9,1688,26.9
North Dakota,38059,Morton County,7194,33.3,6739,32.3,4988,26.5
North Dakota,38061,Mountrail County,2447,35.9,2158,33.6,1447,30.7
North Dakota,38063,Nelson County,776,31.7,747,30.4,730.8,26.4
North Dakota,38065,Oliver County,449,32.1,424,30.7,368.6,26.2
North Dakota,38067,Pembina County,1775,32.1,1787,32,1572,25
North Dakota,38069,Pierce County,1131,34,1104,32.5,864.6,26
North Dakota,38071,Ramsey County,2869,33.2,2701,31.2,2238,26.3
North Dakota,38073,Ransom County,1359,33.1,1320,32.4,1095,24.6
North Dakota,38075,Renville County,623,31.6,583,30.2,503.8,26.2
North Dakota,38077,Richland County,3980,33.1,3899,32.7,3371,26.5
North Dakota,38079,Rolette County,3835,41.4,3745,41.1,3003,33.8
North Dakota,38081,Sargent County,1025,34.4,932,31.7,756.5,24.6
North Dakota,38083,Sheridan County,340,31.6,331,31.7,295.1,24.9
North Dakota,38085,Sioux County,894,33.7,1010,39.1,839.5,33.5
North Dakota,38087,Slope County,154,26.9,162,28.2,145.3,26.1
North Dakota,38089,Stark County,6233,29.6,5788,28.8,3976,24.1
North Dakota,38091,Steele County,455,30.2,483,31.2,398.2,25.7
North Dakota,38093,Stutsman County,5326,33,4837,30.2,4445,27.6
North Dakota,38095,Towner County,538,30.1,559,30.7,510.5,25.4
North Dakota,38097,Traill County,2000,32.8,2184,36.2,1663,26.5
North Dakota,38099,Walsh County,2683,32.2,2536,30.2,2135,24.1
North Dakota,38101,Ward County,15414,30.8,14317,29.7,10100,24.7
North Dakota,38103,Wells County,1111,33.5,1085,32.1,985.1,27
North Dakota,38105,Williams County,7582,35.3,6853,34.8,3915,27.2
Ohio,39001,Adams County,6414,31.1,5861,28.3,5245,25.4
Ohio,39003,Allen County,27398,35.4,26133,33.8,19890,26.2
Ohio,39005,Ashland County,10866,27.9,11745,30.1,9663,24.8
Ohio,39007,Ashtabula County,25090,33.5,22995,30.7,18640,24.7
Ohio,39009,Athens County,13596,28.3,13814,28.8,11430,24.8
Ohio,39011,Auglaize County,11642,34.7,11531,34.4,8436,25
Ohio,39013,Belmont County,18357,33.5,18148,33.1,13320,24.7
Ohio,39015,Brown County,11065,33.7,12243,37.3,8227,25.9
Ohio,39017,Butler County,87828,32.8,80115,30.1,65570,26.4
Ohio,39019,Carroll County,7468,34.7,7453,34.5,5568,25.3
Ohio,39021,Champaign County,10739,37,10611,36.6,7492,26
Ohio,39023,Clark County,32053,31.5,30850,30.4,29640,28.4
